treatment_company,azimuth,md_ft,tvd_ft,date_on_production,operator,footage_lateral_length,well_spacing,porpoise_deviation,porpoise_count,shale_footage,acoustic_impedance,log_permeability,porosity,poisson_ratio,water_saturation,toc,vcl,p_velocity,s_velocity,youngs_modulus,isip,breakdown_pressure,pump_rate,total_number_of_stages,proppant_volume,proppant_fluid_ratio,production,difference_in_days,difference_in_weeks,difference_in_years
treatment_company_8,-27.120001,11315,6783.0,2013-08-01,operator_4,4064.0,,12.36,10,0,35230.46,0.5,0.02,0.34,,4.02,0.51,12738.09,6708.98,30.23,4829.0,6851.0,82,15,5885261.0,1.08,344.0395618,3852,550.2857142857143,10.553424657534247
treatment_company_11,-15.51,14458,7619.0,2014-01-01,operator_6,6759.0,4981.7529,12.96,5,4029,33437.86,0.92,,0.23,0.82,4.36,0.72,11627.02,6782.17,26.97,6105.0,9215.0,79,10,8512240.0,1.35,2944.130214,3699,528.4285714285714,10.134246575342466
treatment_company_3,-11.8,14376,6817.0,2016-07-01,operator_5,7023.0,2521.2019,34.88,7,5106,32719.34,1.32,0.06,0.34,,3.93,1.93,12309.91,6475.37,29.75,4991.0,,75,35,10709935.0,0.91,1736.79381,2787,398.14285714285717,7.635616438356164
treatment_company_9,-9.0600004,12768,7530.0,2018-11-01,operator_6,4933.0,2936.9568,13.21,9,0,34653.08,1.48,0.09,0.21,,3.78,0.49,11590.07,6817.36,27.63,5288.0,,86,21,8172444.0,1.86,2798.759433,1934,276.2857142857143,5.298630136986302
treatment_company_4,21.959999,12874,7535.0,2018-08-01,operator_14,5089.0,1889.394,4.65,3,2152,34570.38,0.14,0.03,0.25,0.94,3.64,0.62,11117.56,6785.57,28.32,5848.0,,96,27,13000754.0,1.11,5463.968098,2026,289.42857142857144,5.550684931506849
treatment_company_5,-19.74,11123,6928.0,2013-04-01,operator_1,3622.0,2000.4401,6.3,8,4611,34469.8,1.11,0.05,0.29,0.69,4.97,0.44,12313.56,6764.83,28.27,4667.0,,82,15,,0.86,2002.244842,3974,567.7142857142857,10.887671232876713
treatment_company_1,-21.41,18873,7136.0,2017-11-01,operator_11,11487.0,2625.7485,0.63,7,0,35358.4,0.7,0.04,0.33,,4.88,0.32,12742.32,7223.24,31.8,5030.0,5706.0,70,50,,0.88,5086.822502,2299,328.42857142857144,6.298630136986302
treatment_company_3,-24.52,13700,7045.0,2018-03-01,operator_1,6405.0,792.4599,315.66,1,0,30117.77,0.61,0.02,0.33,0.87,5.06,0.46,13564.11,6970.37,30.88,5022.0,,97,44,12433952.0,1.58,1843.103448,2179,311.2857142857143,5.96986301369863
treatment_company_13,-35.84,10647,5514.0,2013-07-01,operator_15,4807.0,4658.2725,7.55,18,9655,34811.38,0.84,0.07,0.19,,5.38,0.58,12578.92,7054.73,27.96,3346.0,,93,14,4894790.0,1.27,508.9421901,3883,554.7142857142857,10.638356164383561
treatment_company_2,-23.110001,14589,7366.0,2013-07-01,operator_2,6646.0,1513.0698,37.15,3,0,34661.95,1.88,0.21,0.21,,5.75,0.8,11413.49,7009.28,28.77,4110.0,,80,19,7663205.0,1.45,1744.470647,3883,554.7142857142857,10.638356164383561
treatment_company_12,-44.490002,12191,6911.0,2015-02-01,operator_21,5089.0,946.15784,15.04,6,0,32140.21,0.44,0.03,0.31,,4.61,0.5,12500.8,7084.65,31.4,4832.0,7636.0,99,24,,1.38,504.4295346,3303,471.85714285714283,9.04931506849315
treatment_company_3,-30.52,15669,7033.0,2018-03-01,operator_5,8411.0,2168.4849,7.43,17,0,31568.71,1.25,0.05,0.34,,3.94,1.85,12399.56,6497.98,29.78,4443.0,,74,43,21520860.0,1.13,3146.950423,2179,311.2857142857143,5.96986301369863
treatment_company_10,-29.75,18314,6722.0,2018-09-01,operator_2,11613.0,641.0025,26.27,5,277,27288.09,1.58,,0.2,,6.42,0.52,11801.52,6991.71,28.23,5501.0,,94,51,23130026.0,1.96,2112.703768,1995,285.0,5.465753424657534
