mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.291005802,0.039477211,0.068077183,0.028120086,squared_error,10,log2,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",0.594889518,0.675571047,0.591396413,0.561109813,0.594482003,0.603489759,0.038191949,84
0.222232771,0.033524435,0.03649025,0.013092697,friedman_mse,10,log2,100,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.588852618,0.681061348,0.580801156,0.559982934,0.599802247,0.60210006,0.041576809,85
5.573245096,0.096351886,0.115181971,0.014260804,absolute_error,10,sqrt,500,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",0.599580924,0.676669091,0.588887939,0.545099672,0.598602485,0.601768022,0.042431527,86
0.142465162,0.014141213,0.049007845,0.023597746,squared_error,10,log2,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.585569632,0.681015727,0.58255835,0.557749568,0.599363144,0.601251284,0.042080092,87
1.943034077,0.109391532,0.053871155,0.007146725,absolute_error,10,sqrt,200,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200}",0.592517379,0.67167687,0.584304039,0.541107999,0.602981888,0.598517635,0.0422045,88
0.410453987,0.084097745,0.026781511,0.007452983,absolute_error,10,sqrt,50,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50}",0.602000828,0.667896985,0.593260003,0.544209481,0.576360263,0.596745512,0.0406888,89
0.944333315,0.153620832,0.029994631,0.004808964,absolute_error,10,log2,100,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",0.581824708,0.658768061,0.602591062,0.545797731,0.592569058,0.596310124,0.036649062,90
0.087967682,0.016911609,0.055203962,0.038298219,friedman_mse,10,log2,50,"{'criterion': 'friedman_mse', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50}",0.591729013,0.675234758,0.573688208,0.554258711,0.586570939,0.596296326,0.041533138,91
1.032038641,0.161503915,0.033386755,0.008966313,absolute_error,10,sqrt,100,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",0.593067861,0.671973689,0.576752246,0.541598768,0.597392927,0.596157098,0.042690481,92
1.966724014,0.113356438,0.052012777,0.011530138,absolute_error,10,log2,200,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200}",0.580350956,0.665199075,0.58789661,0.545224391,0.596147848,0.594963776,0.039171125,93
5.766890287,0.227267449,0.109882355,0.023477898,absolute_error,10,log2,500,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500}",0.584788639,0.666421203,0.585864174,0.544399807,0.590742155,0.594443196,0.039662784,94
0.111473942,0.024103637,0.047544432,0.021676426,squared_error,10,log2,50,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50}",0.589277863,0.67270713,0.567722894,0.552534838,0.586701558,0.593788857,0.041665336,95
0.426969337,0.063310075,0.027423954,0.008760953,absolute_error,10,log2,50,"{'criterion': 'absolute_error', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50}",0.5719305,0.639287882,0.583544599,0.554876471,0.573965108,0.584720912,0.028805939,96
